country_name;country_code;population;rural_population_%;access_water_%;access_sanitation_%;access_electricity_%;employment_%;agriculture_employment_%
Aruba;ABW;104822;58,696;98,1;97,7;94,46832275;;
Afghanistan;AFG;34656032;72,868;55,3;31,9;89,5;48;61,59999847
Angola;AGO;28813463;55,181;49;51,6;32;64,40000153;4,199999809
Albania;ALB;2876101;41,624;95,1;93,2;100;43,40000153;41,40000153
Andorra;AND;77281;15,388;100;100;100;;
Arab World;ARB;406452690;41,90607145;92,14682642;90,3704944;88,03912475;44,46716828;21,17152976
United Arab Emirates;ARE;9269612;14,196;99,6;97,6;100;77,09999847;3,5
Argentina;ARG;43847430;8,107;99,1;96,4;100;56,09999847;2
Armenia;ARM;2924816;37,442;100;89,5;100;52,29999924;35
American Samoa;ASM;55599;12,852;100;62,5;;;
Antigua and Barbuda;ATG;100963;76,607;97,9;;96,44298553;;
Australia;AUS;24127159;10,446;100;100;100;60,79999924;2,700000048
Austria;AUT;8747358;33,968;100;100;100;56,59999847;4,699999809
Azerbaijan;AZE;9762274;45,105;87;89,3;100;62;36,70000076
Burundi;BDI;10524117;87,641;75,9;48;7;82;91,09999847
Belgium;BEL;11348159;2,103;100;99,5;100;49,5;1,200000048
Benin;BEN;10872298;55,605;77,9;19,7;34,1;70,59999847;43,20000076
Burkina Faso;BFA;18646433;69,312;82,3;19,7;19,2;80,80000305;80
Bangladesh;BGD;162951560;64,965;86,9;60,6;62,4;59,70000076;40,59999847
Bulgaria;BGR;7127822;25,734;99,4;86;100;50,79999924;6,5
Bahrain;BHR;1425171;11,165;100;99,2;100;69,40000153;1
Bahamas, The;BHS;391232;17,049;98,4;92;100;64,80000305;3,900000095
Bosnia and Herzegovina;BIH;3516816;60,06;99,9;94,8;100;33,29999924;18
Belarus;BLR;9507120;22,954;99,7;94,3;100;59,59999847;9,600000381
Belize;BLZ;366954;56,155;99,5;90,5;92,45124817;62,09999847;16,10000038
Bermuda;BMU;65331;0;;;100;;
Bolivia;BOL;10887882;31,089;90;50,3;90,038729;70,69999695;29,5
Brazil;BRA;207652865;14,067;98,1;82,8;99,650247;57,90000153;15,19999981
Barbados;BRB;284996;68,585;99,7;96,2;100;58,20000076;2,799999952
Brunei Darussalam;BRN;423196;22,495;;;100;59,5;0,600000024
Bhutan;BTN;797765;60,623;100;50,4;100;65,40000153;56,59999847
Botswana;BWA;2250260;42,29;96,2;63,4;56,48230362;63,40000153;25,70000076
Central African Republic;CAF;4594621;59,668;68,5;21,8;12,32972527;72;72,19999695
Canada;CAN;36286425;17,994;99,8;99,8;100;60,90000153;2,099999905
Central Europe and the Baltics;CEB;102974082;37,54161386;99,19246713;93,01710798;100;53,18164608;11,07365653
Switzerland;CHE;8372098;26,01;100;99,9;100;65,30000305;3,5
Channel Islands;CHI;164541;68,423;;;100;53,59999847;5
Chile;CHL;17909754;10,303;99;99,1;100;58,29999924;9,600000381
China;CHN;1378665000;43,222;95,5;76,5;100;67,09999847;27
Cote d'Ivoire;CIV;23695919;45,131;81,9;22,5;61,9;60,90000153;56
Cameroon;CMR;23439189;45,062;75,6;45,8;56,8;72,90000153;61,79999924
Congo, Dem. Rep.;COD;78736153;56,985;52,4;28,7;13,5;68,90000153;65,30000305
Congo, Rep.;COG;5125821;34,202;76,5;15;43,16096115;62,5;40,70000076
Colombia;COL;48653419;23,292;91,4;81,1;97,790938;62,40000153;13,5
Comoros;COM;795601;71,588;90,1;35,8;73,76432037;46;62
Cabo Verde;CPV;539560;33,813;91,7;72,2;90,18797302;60,90000153;27,20000076
Costa Rica;CRI;4857274;22,325;97,8;94,5;99,359291;56,40000153;11,60000038
Caribbean small states;CSS;7245472;57,42950343;95,59790988;85,82602619;96,82753264;57,19928493;12,30229472
Cuba;CUB;11475982;22,816;94,9;93,2;100;53,79999924;12,89999962
Curacao;CUW;159999;10,759;;;100;;
Cayman Islands;CYM;60765;0;97,4;95,6;100;;
Cyprus;CYP;1170125;33,16;100;100;100;56,29999924;4,099999905
Czech Republic;CZE;10561633;27,02;100;99,1;100;57,40000153;2,5
Germany;DEU;82667685;24,49;100;99,2;100;58;1,399999976
Djibouti;DJI;942333;22,57;90;47,4;46,72739792;49,29999924;22,79999924
Dominica;DMA;73543;30,18;;;100;;
Denmark;DNK;5731118;12,153;100;99,6;100;58;2,400000095
Dominican Republic;DOM;10648791;20,159;84,7;84;98,470979;56,29999924;13,10000038
Algeria;DZA;40606052;28,696;83,6;87,6;100;38,79999924;10,80000019
East Asia & Pacific (excluding high income);EAP;2051431154;46,09099358;93,67153209;74,88526781;96,18431783;67,28870939;29,09591104
Early-demographic dividend;EAR;3170542188;55,42300349;90,92571222;57,55975819;82,78608564;55,22990167;36,86046731
East Asia & Pacific;EAS;2296786207;42,47772864;94,1371011;77,21394434;96,55923054;66,23285252;26,56366797
Europe & Central Asia (excluding high income);ECA;417424643;34,81311064;96,74875197;86,13442165;99,99696318;54,67468307;16,25902058
